InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
580129,22708,WRAP DOLLY GIRL,25,12/1/2011 18:03,0.42,17426,United Kingdom
580129,22045,SPACEBOY GIFT WRAP,25,12/1/2011 18:03,0.42,17426,United Kingdom
580129,22585,PACK OF 6 BIRDY GIFT TAGS,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,21481,FAWN BLUE HOT WATER BOTTLE,4,12/1/2011 18:03,3.75,17426,United Kingdom
580129,20712,JUMBO BAG WOODLAND ANIMALS,10,12/1/2011 18:03,2.08,17426,United Kingdom
580129,23209,LUNCH BAG VINTAGE DOILY ,10,12/1/2011 18:03,1.65,17426,United Kingdom
580129,23166,MEDIUM CERAMIC TOP STORAGE JAR,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,22961,JAM MAKING SET PRINTED,12,12/1/2011 18:03,1.45,17426,United Kingdom
580129,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,12/1/2011 18:03,2.95,17426,United Kingdom
580129,22727,ALARM CLOCK BAKELIKE RED ,4,12/1/2011 18:03,3.75,17426,United Kingdom
580129,22726,ALARM CLOCK BAKELIKE GREEN,4,12/1/2011 18:03,3.75,17426,United Kingdom
580129,22120,WELCOME  WOODEN BLOCK LETTERS,3,12/1/2011 18:03,9.95,17426,United Kingdom
580129,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,12/1/2011 18:03,2.95,17426,United Kingdom
580129,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,12/1/2011 18:03,0.55,17426,United Kingdom
580129,82582,AREA PATROLLED METAL SIGN,12,12/1/2011 18:03,2.1,17426,United Kingdom
580129,23201,JUMBO BAG ALPHABET,10,12/1/2011 18:03,2.08,17426,United Kingdom
580129,22993,SET OF 4 PANTRY JELLY MOULDS,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,22865,HAND WARMER OWL DESIGN,12,12/1/2011 18:03,2.1,17426,United Kingdom
580129,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,12/1/2011 18:03,2.08,17426,United Kingdom
580129,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,12/1/2011 18:03,2.95,17426,United Kingdom
580129,22029,SPACEBOY BIRTHDAY CARD,12,12/1/2011 18:03,0.42,17426,United Kingdom
580129,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,12/1/2011 18:03,1.25,17426,United Kingdom
580129,20728,LUNCH BAG CARS BLUE,10,12/1/2011 18:03,1.65,17426,United Kingdom
580129,20713,JUMBO BAG OWLS,10,12/1/2011 18:03,2.08,17426,United Kingdom
580130,23583,LUNCH BAG PAISLEY PARK  ,10,12/1/2011 18:07,1.65,17426,United Kingdom
580130,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,12/1/2011 18:07,0.65,17426,United Kingdom
580130,20973,12 PENCIL SMALL TUBE WOODLAND,24,12/1/2011 18:07,0.65,17426,United Kingdom
580130,23084,RABBIT NIGHT LIGHT,6,12/1/2011 18:07,2.08,17426,United Kingdom
580130,23503,PLAYING CARDS KEEP CALM & CARRY ON,12,12/1/2011 18:07,1.25,17426,United Kingdom
580130,23552,BICYCLE PUNCTURE REPAIR KIT ,6,12/1/2011 18:07,2.08,17426,United Kingdom
580130,23497,CLASSIC CHROME BICYCLE BELL ,12,12/1/2011 18:07,1.45,17426,United Kingdom
580130,23498,CLASSIC BICYCLE CLIPS ,12,12/1/2011 18:07,1.45,17426,United Kingdom
C580131,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,12/1/2011 18:12,7.95,17576,United Kingdom
C580131,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,-18,12/1/2011 18:12,2.1,17576,United Kingdom
C580131,85034C,3 ROSE MORRIS BOXED CANDLES,-12,12/1/2011 18:12,4.25,17576,United Kingdom
580132,22423,REGENCY CAKESTAND 3 TIER,16,12/1/2011 18:16,10.95,15694,United Kingdom
580132,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2011 18:16,3.75,15694,United Kingdom
580132,82494L,WOODEN FRAME ANTIQUE WHITE ,12,12/1/2011 18:16,2.95,15694,United Kingdom
580132,82482,WOODEN PICTURE FRAME WHITE FINISH,12,12/1/2011 18:16,2.95,15694,United Kingdom
580132,23084,RABBIT NIGHT LIGHT,72,12/1/2011 18:16,1.79,15694,United Kingdom
580132,22727,ALARM CLOCK BAKELIKE RED ,12,12/1/2011 18:16,3.75,15694,United Kingdom
580133,23558,LANDMARK FRAME LONDON BRIDGE ,1,12/1/2011 18:43,12.5,15531,United Kingdom
580133,23539,WALL ART LOVES' SECRET ,2,12/1/2011 18:43,5.95,15531,United Kingdom
580133,23531,WALL ART BIG LOVE ,1,12/1/2011 18:43,6.95,15531,United Kingdom
